site_name,date,time_created,time_updated,id,doi,date_accessed,instrument,type,units,surveyors,latitude,longitude,northing,easting,elevation,utm_zone,geom,time,depth,site_id,bottom_depth,comments,sample_a,sample_b,sample_c,value
Grand Mesa,2020-02-08,2021-06-01 18:43:42.016878+00:00,,20071,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,5.0,2S7,,grass in sample,,,,13.7
Grand Mesa,2020-02-08,2021-06-01 18:43:42.015536+00:00,,20070,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,10.0,2S7,,,,,,9.6
Grand Mesa,2020-02-08,2021-06-01 18:43:42.014101+00:00,,20069,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,15.0,2S7,,,,,,9.4
Grand Mesa,2020-02-08,2021-06-01 18:43:42.012734+00:00,,20068,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,20.0,2S7,,,,,,10.3
Grand Mesa,2020-02-08,2021-06-01 18:43:42.011373+00:00,,20067,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,25.0,2S7,,,,,,10.2
Grand Mesa,2020-02-08,2021-06-01 18:43:42.009835+00:00,,20066,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,30.0,2S7,,,,,,10.3
Grand Mesa,2020-02-08,2021-06-01 18:43:42.008555+00:00,,20065,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,35.0,2S7,,,,,,11.4
Grand Mesa,2020-02-08,2021-06-01 18:43:42.007085+00:00,,20064,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,40.0,2S7,,,,,,13.7
Grand Mesa,2020-02-08,2021-06-01 18:43:42.005625+00:00,,20063,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,45.0,2S7,,,,,,13.8
Grand Mesa,2020-02-08,2021-06-01 18:43:42.004326+00:00,,20062,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,50.0,2S7,,,,,,13.7
Grand Mesa,2020-02-08,2021-06-01 18:43:42.002847+00:00,,20061,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,55.0,2S7,,,,,,15.5
Grand Mesa,2020-02-08,2021-06-01 18:43:42.001532+00:00,,20060,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,60.0,2S7,,,,,,20.8
Grand Mesa,2020-02-08,2021-06-01 18:43:42.000193+00:00,,20059,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,65.0,2S7,,,,,,20.0
Grand Mesa,2020-02-08,2021-06-01 18:43:41.998707+00:00,,20058,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,70.0,2S7,,,,,,24.6
Grand Mesa,2020-02-08,2021-06-01 18:43:41.997269+00:00,,20057,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,75.0,2S7,,wind slab,,,,22.3
Grand Mesa,2020-02-08,2021-06-01 18:43:41.995945+00:00,,20056,https://doi.org/10.5067/SNMM6NGGKWIT,2021-06-01,IS3-SP-11-01F,specific_surface_area,,Carrie Vuyovich,39.01865995406138,-108.1977854628225,4322584.0,742605.0,,12,POINT (742605 4322584),11:45:00-06:00,80.0,2S7,,wind slab,,,,22.6
